Year,State,Cantidate,Party,Votes
1976,Alabama,"Carter, Jimmy",democrat,659170
1980,Alabama,"Carter, Jimmy",democrat,636730
1992,Alabama,"Clinton, Bill",democrat,690080
1996,Alabama,"Clinton, Bill",democrat,662165
2016,Alabama,"Clinton, Hillary",democrat,729547
1988,Alabama,"Dukakis, Michael",democrat,549506
2000,Alabama,"Gore, Al",democrat,692611
2004,Alabama,"Kerry, John",democrat,693933
1984,Alabama,"Mondale, Walter",democrat,551899
2008,Alabama,"Obama, Barack H.",democrat,813479
2012,Alabama,"Obama, Barack H.",democrat,795696
1988,Alabama,"Bush, George H.W.",republican,815576
1992,Alabama,"Bush, George H.W.",republican,804283
2000,Alabama,"Bush, George W.",republican,941173
2004,Alabama,"Bush, George W.",republican,1176394
1996,Alabama,"Dole, Robert",republican,769044
1976,Alabama,"Ford, Gerald",republican,504070
2008,Alabama,"McCain, John",republican,1266546
1980,Alabama,"Reagan, Ronald",republican,654192
1984,Alabama,"Reagan, Ronald",republican,872849
2012,Alabama,"Romney, Mitt",republican,1255925
2016,Alabama,"Trump, Donald J.",republican,1318255
1976,Alaska,"Carter, Jimmy",democrat,44058
1980,Alaska,"Carter, Jimmy",democrat,41842
1992,Alaska,"Clinton, Bill",democrat,78294
1996,Alaska,"Clinton, Bill",democrat,80380
2016,Alaska,"Clinton, Hillary",democrat,116454
1988,Alaska,"Dukakis, Michael",democrat,72584
2000,Alaska,"Gore, Al",democrat,79004
2004,Alaska,"Kerry, John",democrat,111025
1984,Alaska,"Mondale, Walter",democrat,62007
2008,Alaska,"Obama, Barack H.",democrat,123594
2012,Alaska,"Obama, Barack H.",democrat,122640
1988,Alaska,"Bush, George H.W.",republican,119251
1992,Alaska,"Bush, George H.W.",republican,102000
2000,Alaska,"Bush, George W.",republican,167398
2004,Alaska,"Bush, George W.",republican,190889
1996,Alaska,"Dole, Robert",republican,122746
1976,Alaska,"Ford, Gerald",republican,71555
2008,Alaska,"McCain, John",republican,193841
1980,Alaska,"Reagan, Ronald",republican,86112
1984,Alaska,"Reagan, Ronald",republican,138377
2012,Alaska,"Romney, Mitt",republican,164676
2016,Alaska,"Trump, Donald J.",republican,163387
1976,Arizona,"Carter, Jimmy",democrat,295602
1980,Arizona,"Carter, Jimmy",democrat,246843
1992,Arizona,"Clinton, Bill",democrat,543050
1996,Arizona,"Clinton, Bill",democrat,653288
2016,Arizona,"Clinton, Hillary",democrat,1161167
1988,Arizona,"Dukakis, Michael",democrat,454029
2000,Arizona,"Gore, Al",democrat,685341
2004,Arizona,"Kerry, John",democrat,893524
1984,Arizona,"Mondale, Walter",democrat,333854
2008,Arizona,"Obama, Barack H.",democrat,1034707
2012,Arizona,"Obama, Barack H.",democrat,1025232
1988,Arizona,"Bush, George H.W.",republican,702541
1992,Arizona,"Bush, George H.W.",republican,572086
2000,Arizona,"Bush, George W.",republican,781652
2004,Arizona,"Bush, George W.",republican,1104294
